V_c,V_E,V_B,I_E_,I_C,I_b,FREQ,Y_21,Y_11,Y22,Y_12
0,0,0,0,0,0,1000000,-3.06350793e-12-1.60584341e-07j,8.72507958e-12+2.96160585e-07j,3.98877664e-12+3.43658038e-07j,-3.06328894e-12-1.60584341e-07j
0,0,0,0,0,0,1258930,-4.27020658e-12-2.02164445e-07j,1.25895396e-11+3.72529034e-07j,5.1432059e-12+4.30271036e-07j,-4.26998758e-12-2.02164445e-07j
0,0,0,0,0,0,1584890,-6.18261255e-12-2.54508516e-07j,1.89350322e-11+4.71249226e-07j,6.79447903e-12+5.43892388e-07j,-6.18239356e-12-2.54508516e-07j
0,0,0,0,0,0,1995260,-9.21364444e-12-3.20407512e-07j,2.87245986e-11+5.92321159e-07j,9.5455319e-12+6.85453419e-07j,-9.21342544e-12-3.20407512e-07j
0,0,0,0,0,0,2511890,-1.40175594e-11-4.033702e-07j,4.43240664e-11+7.4133277e-07j,1.42437224e-11+8.58679416e-07j,-1.40173404e-11-4.033702e-07j
0,0,0,0,0,0,3162280,-2.16311561e-11-5.07812649e-07j,6.91366328e-11+9.35047864e-07j,2.16041093e-11+1.08033419e-06j,-2.16309371e-11-5.07812649e-07j
0,0,0,0,0,0,3981070,-3.36978454e-11-6.392975e-07j,1.08674162e-10+1.17719173e-06j,3.30431687e-11+1.36718154e-06j,-3.36976264e-11-6.392975e-07j
0,0,0,0,0,0,5011870,-5.28223312e-11-8.04827835e-07j,1.7091205e-10+1.48266553e-06j,5.07286984e-11+1.72108412e-06j,-5.28221122e-11-8.04827835e-07j
0,0,0,0,0,0,6309570,-8.31325886e-11-1.01321813e-06j,2.6972415e-10+1.85519456e-06j,7.96874783e-11+2.16811895e-06j,-8.31323696e-11-1.01321813e-06j
0,0,0,0,0,0,7943280,-1.31171186e-10-1.27556636e-06j,4.26474687e-10+2.34693288e-06j,1.25139214e-10+2.71201134e-06j,-1.31170967e-10-1.27556636e-06j
0,0,0,0,0,0,10000000,-2.07307283e-10-1.60584335e-06j,6.74706018e-10+2.95788049e-06j,1.96775258e-10+3.43471765e-06j,-2.07307064e-10-1.60584335e-06j
0.1,2.05072477e-16,0.1,-2.05072477e-13,1.00254762e-13,1.04817715e-13,1000000,-3.07238561e-12-1.60584341e-07j,9.32398068e-12+3.04542488e-07j,3.93126069e-12+3.39001425e-07j,-3.08193547e-12-1.60584341e-07j
0.1,2.05072477e-16,0.1,-2.05072477e-13,1.00254762e-13,1.04817715e-13,1258930,-4.2899907e-12-2.02164445e-07j,1.34520728e-11+3.83704905e-07j,5.10429517e-12+4.246831e-07j,-4.29954055e-12-2.02164445e-07j
0.1,2.05072477e-16,0.1,-2.05072477e-13,1.00254762e-13,1.04817715e-13,1584890,-6.21968148e-12-2.54508516e-07j,2.01930458e-11+4.84287742e-07j,6.76587765e-12+5.36441808e-07j,-6.22923133e-12-2.54508516e-07j
0.1,2.05072477e-16,0.1,-2.05072477e-13,1.00254762e-13,1.04817715e-13,1995260,-9.27810858e-12-3.20407512e-07j,3.05984994e-11+6.09084965e-07j,9.48680508e-12+6.76140193e-07j,-9.28765844e-12-3.20407512e-07j
0.1,2.05072477e-16,0.1,-2.05072477e-13,1.00254762e-13,1.04817715e-13,2511890,-1.41254425e-11-4.033702e-07j,4.74078357e-11+7.65547156e-07j,1.39893915e-11+8.47503545e-07j,-1.41349924e-11-4.033702e-07j
0.1,2.05072477e-16,0.1,-2.05072477e-13,1.00254762e-13,1.04817715e-13,3162280,-2.18078528e-11-5.07812649e-07j,7.40101682e-11+9.64850186e-07j,2.10566272e-11+1.06915832e-06j,-2.18174027e-11-5.07812649e-07j
0.1,2.05072477e-16,0.1,-2.05072477e-13,1.00254762e-13,1.04817715e-13,3981070,-3.39836038e-11-6.392975e-07j,1.16144414e-10+1.21444463e-06j,3.21357343e-11+1.34855509e-06j,-3.39931537e-11-6.392975e-07j
0.1,2.05072477e-16,0.1,-2.05072477e-13,1.00254762e-13,1.04817715e-13,5011870,-5.32809415e-11-8.04827835e-07j,1.82773641e-10+1.52736902e-06j,4.95201003e-11+1.69873238e-06j,-5.32904913e-11-8.04827835e-07j
0.1,2.05072477e-16,0.1,-2.05072477e-13,1.00254762e-13,1.04817715e-13,6309570,-8.38651505e-11-1.01321813e-06j,2.88447132e-10+1.92224979e-06j,7.75072069e-11+2.13831663e-06j,-8.38747003e-11-1.01321813e-06j
0.1,2.05072477e-16,0.1,-2.05072477e-13,1.00254762e-13,1.04817715e-13,7943280,-1.32337932e-10-1.27556635e-06j,4.55889051e-10+2.42143869e-06j,1.21582416e-10+2.68220901e-06j,-1.32347482e-10-1.27556635e-06j
0.1,2.05072477e-16,0.1,-2.05072477e-13,1.00254762e-13,1.04817715e-13,10000000,-2.09162166e-10-1.60584335e-06j,7.21160935e-10+3.04728745e-06j,1.91523407e-10+3.39001417e-06j,-2.09171716e-10-1.60584335e-06j
0.2,4.4159056700000003e-16,0.2,-4.41590567e-13,2.12063425e-13,2.29527142e-13,1000000,-2.64759197e-12-1.60584341e-07j,1.03419635e-11+3.13855714e-07j,3.93036398e-12+3.35276135e-07j,-3.1098162e-12-1.60584341e-07j
0.2,4.4159056700000003e-16,0.2,-4.41590567e-13,2.12063425e-13,2.29527142e-13,1258930,-3.88150463e-12-2.02164445e-07j,1.46898815e-11+3.95812099e-07j,4.85098101e-12+4.20026487e-07j,-4.34372886e-12-2.02164445e-07j
0.2,4.4159056700000003e-16,0.2,-4.41590567e-13,2.12063425e-13,2.29527142e-13,1584890,-5.83704006e-12-2.54508516e-07j,2.20193935e-11+4.99188903e-07j,6.62358942e-12+5.30853872e-07j,-6.29926429e-12-2.54508516e-07j
0.2,4.4159056700000003e-16,0.2,-4.41590567e-13,2.12063425e-13,2.29527142e-13,1995260,-8.93642916e-12-3.20407512e-07j,3.34353481e-11+6.29574062e-07j,9.31439141e-12+6.68689612e-07j,-9.39865338e-12-3.20407512e-07j
0.2,4.4159056700000003e-16,0.2,-4.41590567e-13,2.12063425e-13,2.29527142e-13,2511890,-1.38486842e-11-4.033702e-07j,5.13570762e-11+7.91624188e-07j,1.35211656e-11+8.3819032e-07j,-1.43109084e-11-4.033702e-07j
0.2,4.4159056700000003e-16,0.2,-4.41590567e-13,2.12063425e-13,2.29527142e-13,3162280,-2.16339862e-11-5.07812649e-07j,8.01066825e-11+9.98377798e-07j,2.0509145e-11+1.05425716e-06j,-2.20962105e-11-5.07812649e-07j
0.2,4.4159056700000003e-16,0.2,-4.41590567e-13,2.12063425e-13,2.29527142e-13,3981070,-3.39728089e-11-6.39297499e-07j,1.25740813e-10+1.25914812e-06j,3.14536133e-11+1.33365393e-06j,-3.44350331e-11-6.39297499e-07j
0.2,4.4159056700000003e-16,0.2,-4.41590567e-13,2.12063425e-13,2.29527142e-13,5011870,-5.35285988e-11-8.04827834e-07j,1.97772434e-10+1.57952308e-06j,4.81978153e-11+1.67638063e-06j,-5.3990823e-11-8.04827834e-07j
0.2,4.4159056700000003e-16,0.2,-4.41590567e-13,2.12063425e-13,2.29527142e-13,6309570,-8.45224267e-11-1.01321813e-06j,3.11828057e-10+1.98185443e-06j,7.5616208e-11+2.11596489e-06j,-8.49846509e-11-1.01321813e-06j
0.2,4.4159056700000003e-16,0.2,-4.41590567e-13,2.12063425e-13,2.29527142e-13,7943280,-1.33644411e-10-1.27556635e-06j,4.92860849e-10+2.49594449e-06j,1.18532915e-10+2.64495611e-06j,-1.34106636e-10-1.27556635e-06j
0.2,4.4159056700000003e-16,0.2,-4.41590567e-13,2.12063425e-13,2.29527142e-13,10000000,-2.11497563e-10-1.60584335e-06j,7.79465229e-10+3.15159558e-06j,1.86583634e-10+3.34531069e-06j,-2.11959787e-10-1.60584335e-06j
0.3,1.3190316000000002e-15,0.3,-1.3190316e-12,8.59203354e-13,4.5982825e-13,1000000,1.8280746e-11-1.60584342e-07j,1.3304528e-11+3.2689423e-07j,3.87284803e-12+3.31550844e-07j,-3.14930796e-12-1.60584341e-07j
0.3,1.3190316000000002e-15,0.3,-1.3190316e-12,8.59203354e-13,4.5982825e-13,1258930,1.70237344e-11-2.02164446e-07j,1.81164282e-11+4.11644582e-07j,4.92575711e-12+4.15369874e-07j,-4.40631954e-12-2.02164445e-07j
0.3,1.3190316000000002e-15,0.3,-1.3190316e-12,8.59203354e-13,4.5982825e-13,1584890,1.50315912e-11-2.54508518e-07j,2.60158611e-11+5.19677999e-07j,6.59498804e-12+5.25265937e-07j,-6.3984627e-12-2.54508516e-07j
0.3,1.3190316000000002e-15,0.3,-1.3190316e-12,8.59203354e-13,4.5982825e-13,1995260,1.18741813e-11-3.20407514e-07j,3.87048818e-11+6.51925803e-07j,9.25566458e-12+6.61239031e-07j,-9.55587254e-12-3.20407512e-07j
0.3,1.3190316000000002e-15,0.3,-1.3190316e-12,8.59203354e-13,4.5982825e-13,2511890,6.86996854e-12-4.03370202e-07j,5.84361354e-11+8.19563865e-07j,1.31666264e-11+8.28877094e-07j,-1.45600853e-11-4.033702e-07j
0.3,1.3190316000000002e-15,0.3,-1.3190316e-12,8.59203354e-13,4.5982825e-13,3162280,-1.06107495e-12-5.07812651e-07j,8.98647433e-11+1.0356307e-06j,2.00753497e-11+1.04308129e-06j,-2.24911286e-11-5.07812648e-07j
0.3,1.3190316000000002e-15,0.3,-1.3190316e-12,8.59203354e-13,4.5982825e-13,3981070,-1.36308813e-11-6.39297503e-07j,1.39899181e-10+1.3038516e-06j,3.0715679e-11+1.31875277e-06j,-3.50609347e-11-6.39297499e-07j
0.3,1.3190316000000002e-15,0.3,-1.3190316e-12,8.59203354e-13,4.5982825e-13,5011870,-3.3552757e-11-8.04827838e-07j,2.1853279e-10+1.64285302e-06j,4.72026052e-11+1.66147947e-06j,-5.498281e-11-8.04827834e-07j
0.3,1.3190316000000002e-15,0.3,-1.3190316e-12,8.59203354e-13,4.5982825e-13,6309570,-6.51267916e-11-1.01321813e-06j,3.43586315e-10+2.06381082e-06j,7.38388959e-11+2.09361315e-06j,-8.6556844e-11-1.01321812e-06j
0.3,1.3190316000000002e-15,0.3,-1.3190316e-12,8.59203354e-13,4.5982825e-13,7943280,-1.15168343e-10-1.27556636e-06j,5.4193943e-10+2.60025262e-06j,1.15766199e-10+2.62260437e-06j,-1.36598395e-10-1.27556635e-06j
0.3,1.3190316000000002e-15,0.3,-1.3190316e-12,8.59203354e-13,4.5982825e-13,10000000,-1.94478911e-10-1.60584335e-06j,8.56056996e-10+3.27080487e-06j,1.82183313e-10+3.31550836e-06j,-2.15908961e-10-1.60584334e-06j
0.4,2.77003373e-14,0.4,-2.77003373e-11,2.62831194e-11,1.41721793e-12,1000000,9.88393672e-10-1.60584387e-07j,3.29036168e-11+3.42726711e-07j,4.61024323e-12+3.28756876e-07j,-3.20430582e-12-1.60584341e-07j
0.4,2.77003373e-14,0.4,-2.77003373e-11,2.62831194e-11,1.41721793e-12,1258930,9.87104491e-10-2.02164502e-07j,3.86084708e-11+4.30271031e-07j,5.75743036e-12+4.11644584e-07j,-4.49348591e-12-2.02164444e-07j
0.4,2.77003373e-14,0.4,-2.77003373e-11,2.62831194e-11,1.41721793e-12,1584890,9.85061364e-10-2.54508589e-07j,4.72834545e-11+5.43892384e-07j,7.35486449e-12+5.21540646e-07j,-6.53661052e-12-2.54508516e-07j
0.4,2.77003373e-14,0.4,-2.77003373e-11,2.62831194e-11,1.41721793e-12,1995260,9.8182315e-10-3.20407603e-07j,6.12069352e-11+6.83590769e-07j,9.82033195e-12+6.55651096e-07j,-9.77482245e-12-3.20407512e-07j
0.4,2.77003373e-14,0.4,-2.77003373e-11,2.62831194e-11,1.41721793e-12,2511890,9.76690868e-10-4.03370314e-07j,8.32285599e-11+8.60542057e-07j,1.39952495e-11+8.21426513e-07j,-1.49070993e-11-4.03370199e-07j
